,2020-06-01-2021-05-31,2021-06-01-2022-05-31
WeightedAverageNumberOfDilutedSharesOutstanding,3022000000,2786000000
WeightedAverageNumberOfSharesOutstandingBasic,2945000000,2700000000
EarningsPerShareDiluted,4.55,2.41
EarningsPerShareBasic,4.67,2.49
NetIncomeLoss,13746000000,6717000000
IncomeTaxExpenseBenefit,-747000000,932000000
IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,12999000000,7649000000
NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,282000000,-522000000
InterestExpense,2496000000,2755000000
OperatingIncomeLoss,15213000000,10926000000
CostsAndExpenses,25266000000,31514000000
RestructuringCharges,431000000,191000000
BusinessCombinationAcquisitionRelatedCosts,138000000,4713000000
AmortizationOfIntangibleAssets,1379000000,1150000000
GeneralAndAdministrativeExpense,1254000000,1317000000
ResearchAndDevelopmentExpense,6527000000,7219000000
SellingAndMarketingExpense,7682000000,8047000000
ServicesExpense,2530000000,2692000000
HardwareExpenses,972000000,972000000
CloudServicesAndLicenseSupportExpenses,4353000000,5213000000
RevenueFromContractWithCustomerExcludingAssessedTax,40479000000,42440000000
SalesRevenueServicesNet1,3021000000,3205000000
HardwareRevenues,3359000000,3183000000
CloudLicenseAndOnPremiseLicenseRevenue,5399000000,5878000000
CloudServicesAndLicenseSupportRevenue,28700000000,30174000000
