,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,14298000000,13685000000
CostOfGoodsAndServicesSold,,
ResearchAndDevelopmentExpense,159000000,150000000
SellingGeneralAndAdministrativeExpense,1948000000,1763000000
CostsAndExpenses,12212000000,11678000000
OtherOperatingIncomeExpenseNet,22000000,26000000
OperatingIncomeLoss,2108000000,2033000000
NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,11000000,2000000
InterestIncomeExpenseNet,-136000000,-143000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1961000000,1888000000
IncomeTaxExpenseBenefit,541000000,519000000
ProfitLoss,1420000000,1369000000
NetIncomeLossAttributableToNoncontrollingInterest,174000000,116000000
NetIncomeLoss,1246000000,1253000000
EarningsPerShareBasic,2.91,2.98
EarningsPerShareDiluted,2.89,2.96
WeightedAverageNumberOfSharesOutstandingBasic,427700000,420000000.0
WeightedAverageNumberOfDilutedSharesOutstanding,431400000,423000000.0
