,2021-01-01-2021-12-31,2022-01-01-2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,28586000000,30154000000
DirectOperatingCosts,17744000000,19845000000
SellingGeneralAndAdministrativeExpense,6398000000,7033000000
DepreciationAndAmortization,390000000,405000000
RestructuringChargesAndOther,100000000,585000000
CostsAndExpenses,24632000000,27868000000
GainLossOnDispositionOfAssetsAndSaleOfBusiness,2343000000,56000000
OperatingIncomeLoss,6297000000,2342000000
InterestExpense,986000000,931000000
InterestIncomeOther,53000000,108000000
GainLossOnInvestments,47000000,-9000000
GainsLossesOnExtinguishmentOfDebt,-128000000,-120000000
OtherNonoperatingIncomeExpense,-77000000,-124000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,5206000000,1266000000
IncomeTaxExpenseBenefit,646000000,227000000
IncomeLossFromEquityMethodInvestments,-91000000,-204000000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,4469000000,835000000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,162000000,379000000
ProfitLoss,4631000000,1214000000
NetIncomeLossAttributableToNoncontrollingInterest,88000000,110000000
NetIncomeLoss,4543000000,1104000000
IncomeLossFromContinuingOperations,4381000000,725000000
IncomeLossFromContinuingOperationsPerBasicShare,6.77,1.03
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.25,0.58
EarningsPerShareBasic,7.02,1.61
IncomeLossFromContinuingOperationsPerDilutedShare,6.69,1.03
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.25,0.58
EarningsPerShareDiluted,6.94,1.61
WeightedAverageNumberOfSharesOutstandingBasic,641000000,649000000
WeightedAverageNumberOfDilutedSharesOutstanding,655000000,650000000
