,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,25371000000,27518000000
TransactionExpense,10315000000,12173000000
TransactionAndCreditLosses,1060000000,1572000000
CustomerSupportAndOperationsExpense,2075000000,2120000000
SellingAndMarketingExpense,2445000000,2257000000
TechnologyAndDevelopmentExpense,3038000000,3253000000
GeneralAndAdministrativeExpense,2114000000,2099000000
RestructuringCostsAndAssetImpairmentCharges,62000000,207000000
OperatingExpenses,21109000000,23681000000
OperatingIncomeLoss,4262000000,3837000000
NonoperatingIncomeExpense,-163000000,-471000000
IncomeLossAttributableToParent,4099000000,3366000000
IncomeTaxExpenseBenefit,-70000000,947000000
NetIncomeLoss,4169000000,2419000000
EarningsPerShareBasic,3.55,2.10
EarningsPerShareDiluted,3.52,2.09
WeightedAverageNumberOfSharesOutstandingBasic,1174000000,1154000000
WeightedAverageNumberOfDilutedSharesOutstanding,1186000000,1158000000
