,2021-01-01-2021-12-31,2022-01-01-2022-12-31
Revenues,81288000000,100330000000
CostOfGoodsAndServicesSold,30821000000,34344000000
SellingGeneralAndAdministrativeExpense,12703000000,13677000000
ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,10360000000,11428000000
ResearchAndDevelopmentAssetAcquiredOtherThanThroughBusinessCombinationWrittenOff,3469000000,953000000
AmortizationOfIntangibleAssetsNotAssociatedWithSingleFunction,3700000000,3609000000
RestructuringChargesAndAcquisitionRelatedCosts,802000000,1375000000
OtherNonoperatingIncomeExpense,4878000000,-217000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,24311000000,34729000000
IncomeTaxExpenseBenefit,1852000000,3328000000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,22459000000,31401000000
IncomeLossFromDiscontinuedOperationsNetOfTax,-434000000,6000000
ProfitLoss,22025000000,31407000000
NetIncomeLossAttributableToNoncontrollingInterest,45000000,35000000
NetIncomeLoss,21979000000,31372000000
IncomeLossFromContinuingOperationsPerBasicShare,4.00,5.59
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.08,0
EarningsPerShareBasic,3.92,5.59
IncomeLossFromContinuingOperationsPerDilutedShare,3.93,5.47
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.08,0
EarningsPerShareDiluted,3.85,5.47
WeightedAverageNumberOfSharesOutstandingBasic,5601000000,5608000000
WeightedAverageNumberOfDilutedSharesOutstanding,5708000000,5733000000
