,2020-07-01-2021-06-30,2021-07-01-2022-06-30
Revenues,76118000000,80187000000
CostOfGoodsAndServicesSold,37108000000,42157000000
SellingGeneralAndAdministrativeExpense,21024000000,20217000000
OperatingIncomeLoss,17986000000,17813000000
InterestExpense,502000000,439000000
InvestmentIncomeInterest,45000000,51000000
OtherNonoperatingIncomeExpense,86000000,570000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxes,17615000000,17995000000
IncomeTaxExpenseBenefit,3263000000,3202000000
ProfitLoss,14352000000,14793000000
NetIncomeLossAttributableToNoncontrollingInterest,46000000,51000000
NetIncomeLoss,14306000000,14742000000
EarningsPerShareBasic,5.69,6.00
EarningsPerShareDiluted,5.50,5.81
