,2020-07-04-2021-07-02,2021-07-03-2022-07-01
RevenueFromContractWithCustomerExcludingAssessedTax,10681000000,11661000000
CostOfGoodsAndServicesSold,7764000000,8192000000
ResearchAndDevelopmentExpense,903000000,941000000
SellingGeneralAndAdministrativeExpense,502000000,559000000
Amortizationofintangibleassetsexcludingamountincludedincostofrevenue,12000000,11000000
RestructuringCostsAndAssetImpairmentCharges,8000000,3000000
CostsAndExpenses,9189000000,9706000000
OperatingIncomeLoss,1492000000,1955000000
InvestmentIncomeInterest,2000000,2000000
InterestExpense,220000000,249000000
OtherNonoperatingIncomeExpense,74000000,-29000000
NonoperatingIncomeExpense,-144000000,-276000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1348000000,1679000000
IncomeTaxExpenseBenefit,34000000,30000000
NetIncomeLoss,1314000000,1649000000
EarningsPerShareBasic,5.43,7.50
EarningsPerShareDiluted,5.36,7.36
WeightedAverageNumberOfSharesOutstandingBasic,242000000,220000000
WeightedAverageNumberOfDilutedSharesOutstanding,245000000,224000000
