,2020-02-01-2021-01-31,2021-02-01-2022-01-31
RevenueFromContractWithCustomerExcludingAssessedTax,555233000000,567762000000
OtherIncome,3918000000,4992000000
Revenues,559151000000,572754000000
CostOfRevenue,420315000000,429000000000
SellingGeneralAndAdministrativeExpense,116288000000,117812000000
OperatingIncomeLoss,22548000000,25942000000
InterestExpenseDebt,1976000000,1674000000
FinanceLeaseAndFinancingObligationInterestExpense,339000000,320000000
InvestmentIncomeInterest,121000000,158000000
InterestIncomeExpenseNet,-2194000000,-1836000000
GainsLossesOnExtinguishmentOfDebt,0,-2410000000
NonoperatingIncomeExpense,210000000,-3000000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,20564000000,18696000000
IncomeTaxExpenseBenefit,6858000000,4756000000
ProfitLoss,13706000000,13940000000
NetIncomeLossAttributableToNoncontrollingInterest,196000000,267000000
NetIncomeLoss,13510000000,13673000000
EarningsPerShareBasic,4.77,4.90
EarningsPerShareDiluted,4.75,4.87
WeightedAverageNumberOfSharesOutstandingBasic,2831000000,2792000000
WeightedAverageNumberOfDilutedSharesOutstanding,2847000000,2805000000
CommonStockDividendsPerShareDeclared,2.16,2.20
