,2020-10-04-2021-10-02,2019-09-29-2020-10-03
Revenues,67418000000,65388000000
CostOfGoodsAndServicesSold,,
SellingGeneralAndAdministrativeExpense,13517000000,12369000000
DepreciationDepletionAndAmortization,5111000000,5345000000
CostsAndExpenses,63759000000,61594000000
RestructuringSettlementAndImpairmentProvisions,654000000,5735000000
NonoperatingIncomeExpense,201000000,1038000000
InterestIncomeExpenseNonoperatingNet,-1406000000,-1491000000
IncomeLossFromEquityMethodInvestments,761000000,651000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2561000000,-1743000000
IncomeTaxExpenseBenefit,25000000,699000000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,2536000000,-2442000000
IncomeLossFromDiscontinuedOperationsNetOfTax,-29000000,-32000000
ProfitLoss,2507000000,-2474000000
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,512000000,390000000
NetIncomeLoss,1995000000,-2864000000
IncomeLossFromContinuingOperationsPerDilutedShare,1.11,-1.57
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,-0.02,-0.02
EarningsPerShareDiluted,1.09,-1.58
IncomeLossFromContinuingOperationsPerBasicShare,1.11,-1.57
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,-0.02,-0.02
EarningsPerShareBasic,1.10,-1.58
WeightedAverageNumberOfDilutedSharesOutstanding,1828000000,1808000000
WeightedAverageNumberOfSharesOutstandingBasic,1816000000,1808000000
